,event,title,description
252,31760313198121,Pitt-Greensburg Criminal Justice Day: Police/Community Relations,"Police and Community Relations is the topic of the third Legislative Action Panel to be held as part of Pitt-Greensburg's 2019 Criminal Justice Day.  Four panels will be held throughout the day, plus a networking luncheon event. The day is sponsored by t"
253,31760343831941,"Dr. William Dichtel, Dynamic Bonds & Assemblies in 2D Covalent Organic Framework and Related Nanomaterials","Dr. William Dichtel, N"
254,31760361076282,Pitt-Greensburg  Criminal Justice Day: Immigration,"Immigration is the topic of the fourth Legislative Action Panel to be held as part of Pitt-Greensburg's 2019 Criminal Justice Day.  Four panels will be held throughout the day, plus a networking luncheon event. The day is sponsored by the Criminal Justice Club, the Academic Village, and the Office of Career Services.\n\nDiscussing the topic of immigration will be representatives from CASA San Jose, a Pi"
255,1362301,Pitt x CMU PDMA Competition,PDMA Pittsburgh (Pittsburgh's Chapter of the Product Development and Management Association) will help celebrate Pitt and CMU's Global Entrepreneurship Week by sponsoring yet another exciting student pitch competition.\n\nEight top teams - four graduate and four undergraduate teams from Pitt and CMU - will have just 90 seconds to pitch their innovative ideas to an expert panel of judges to compete for great prizes. \n\nGlobal Entrepreneurship Week
256,1464717,Faculty and Staff Info Sessions at the CEC,"University of Pittsburgh Faculty and Staff are invited to learn about engaging their teaching and research with the community through Pitt's Community Engagement Center in Homewood. Facilitated by Lina Dostilio, Assistant Vi"
257,1503788,Pitt - Johnstown: Mountain Cat Tournament,"The Mountain Cat Basketball Tournament, a tradition of more than 40 years at Pitt-Johnstown, features four boys basketball teams in a two-day tournament format and a featured girls game on the second day.\n\nThe event takes place at Pitt-Johnstown's Sports Center.\n\nThe tournament benefits the Pitt-Johnstown Alumni Association.\n\nFriday, Decemb"
258,1510051,Dynamics in DNA Damage Signaling Regulate the Response to Radiation,"Jacob Stewart-Ornstein, PhD, assistant professor of computational and systems biology, School of Medicine, will present the next SVC lecture on Friday, Nov. 15, at noon, in BST S100A. The title of his talk is \""Dynamics in DNA Damage Signaling Regulate the Response to Radiation.\"
259,1510054,T Cell Exhaustion at the Crossroads of Autoimmunity and Cancer,"Jeremy S. Tilstra, MD, PhD, assistant professor of medicine (Rheumatology and Clinical Immunology), School of Medicine, will present the next SVC lecture on Friday, Nov. 15, at noon, in BST S100A. The title of his talk is \""T Cell Exhaustion at the Crossroads of Autoimmunity and "
260,1522042,Pitt-Johnstown Wrestling vs. Shippensburg University,Mountain Cats host PSA
261,1535737,Start Smart Seminars: ,"Start Smart is a series of legal education seminars for entrepreneurs.  It is year-round, free, and open to the public.  It is hosted by the University of Pittsburgh Innovation Institute, CMU Project Olympus, and Pitt School of Law's Innovation Practice Institute.\n\nSeptember 24, 2019\nOverview of Startup Legal Issues\nCMU, Gates Hillman Center, Room 4405\n\nIn this session the most common issues facing entrepreneurs preparing to launch a startup will be addressed. Come equipped with your own questions and issues.\n\n \n\nOctober 15, 2019\nHow to Negotiate a Term Sheet\nPitt Barco Law Bu"
262,1544412,First Step: Mechanics of Starting a Small Business,"Thinking of starting a small business?  Begin exploring the size of your market and what marketing tools you'll need to attract customers, learn about business structures, access helpful reso"
263,1544467,Second Step:  Developing A Business Plan  ,"Most financing options require a solid business plan.  Learn all you need to know about operational and production planning, conducting market researc"
264,1648910,Transcriptional Regulatory Mechanisms in Animal Cells,"Robert G. Roeder, PhD, Arnold and Mabel Beckman Professor and head of the Laboratory of Biochemistry and Molecular Biology, the Rockefeller University, will deliver the next presentation in the 2019 Senior Vice Chancellor's Laureate Lecture Series, a yearlong program highlighting top biomedical researchers in their fields. Roeder's talk, ""Transcriptional Regulatory Mechanisms in Animal Cells,"" will be delivere"
265,1648913,Network Models in Biology: From Biomolecular Mechanisms to Chromosomal Dynamics to Systems Pharmacology,"Ivet Bahar, PhD, Distinguished Professor, John K. Vries Professor, and chair of computational and systems biology, University of Pittsburgh School of Medicine, will deliver the next presentation in the 2019 Senior Vice Chancellor's Laureate Lecture Series, a yearlong program highlighting top biomedical researchers in their fields. Bahar's talk, ""Network Models in Biology"
266,30209684278685,Winter Meeting of the Board of Trustees,"The Board of Trustees oversees all charitable, scientific"
267,30209691689489,Annual Meeting of the Board of Trustees,"The Board of Trustees oversees all charitable, scientific"
268,30209703855905,Fall Meeting of the Board of Trustees,"The Board of Trustees oversees all charitable, scientific"
269,30440548825065,Sunday Stanza: Nonsense!,"Nonsense verse in English has a long history, stretching back to Anglo Saxon riddles, folk poetry, and nursery rhymes, but it's often considered a lesser genre because its primary audience is children.\n\nIn this workshop, we'll have fun writing nonsense of all kinds, and explore the associated \""highbrow\"" nonsense of Dad"
270,30458107896478,Winter Graduation & Pinning Ceremony,"Students graduated/graduating in December 2019, and their guests, are invited to take part in the Pitt Nursing Winter Graduation & Pinning Ceremony. \n\nTickets"
271,30643974788545,Bound & UnBound: Zine Hang at Frick Fine Arts Library,"Zines are self-published works of original or found images and texts that reflect their creators' passions and personalities.\n\nExperiment with techniques to make your own zine, get inspiration from the Frick Fine Arts Library's zine collection, and pick up tips from other zinesters.  \n\nNOTE"
272,30644442272355,Global Entrepreneurship Week ,"Be a part of the world's largest celebration of innovators and job creators who launch startups and bring ideas to life during this week's Global Entrepreneurship Week.  \n\nIn collaboration with CMU, the University of Pittsburgh will present daily events throughout the week fo"
273,30645475249520,The Wolves,"The Wolves chronicles six Saturday mornings in the lives of a soccer team somewhere in suburban America as they prepare for their games. The girls discuss everything from genocide to menstrual cycles to drugs to boys to literature to each other, and a group of girls whom at first seem "
274,30645541981332,The Verge,"THE VERGE by Susan Glaspell (Trifles) was first produced by the Provincetown Players in the 1920s. While this non-realism play begins comedically, Glaspell quickly reveals the darker themes at work in early 20th-century society. The Verge follows botanist Claire Archer as she experiments with strange plants in pursuit of creating a new form of life. This mirrors her own need to navigate existence in a changing world, recently devastated by war and alte"
275,30645572795094,Appropriate,"Every estranged member of the Lafayette clan has descended upon the crumbling Arkansas homestead to settle the accounts of the newly-dead patriarch. As his three adult children sort through a lifetime of hoarded mementos and junk, they collide ove"
276,31760606702340,Pitt-Greensburg Criminal Justice Day: Networking Event,"Pitt-Greensburg's Criminal Justice Day will include a Networking Luncheon event that will allow attendees to meet and talk with representatives from local, state, and federal agencies who work in the criminal justice field, including:\n\nU.S. Customs and Border PatrolU.S. Drug Enforceme"
277,31767083406716,Pitt-Greensburg: Thanksgiving Recess,Pitt-Greensburg students will enjoy Thanksgiving Recess from November 24 through December 1.\n\nResidence halls close at noon on Satur
278,31767365676914,Faculty Book Talk: Tropic of Football,Robert Ruck Tropic of Football
279,31767848679698,Money is Emotional: Prevent Your Heart from Hijacking Your Wallet: Life Solutions Webinar,"This webinar pulls back the curtain on why we do what we do with our money. Christine Luken's \""Mindful Money Management\"" approach to personal finance is unique in that it harnesses the power of positive thought and emotions - and short circuits the negative ones. Participants will learn how to navigate emotional money situations with purpose and confidence, so you can ensure that your heart won't hijack your wallet.\n\nMoney is Emotional"
280,31768283946426,Teaching Workshops at Pitt Johnstown ,"In a series of three workshops on Pitt Johnstown campus, this professional development opportunity for full- and part-time faculty offers:\n\n9:00 a.m. | Misinformaton in the Classroom"
281,31768340789916,"ID Grand Rounds - Nina Singh, MD","Join us for ID Grand Rounds as Dr. Nina Singh presents on, \""CMV in Organ Transplantation"
282,31768476991103,IL-17 Signaling in Steatotic Hepatocytes and Macrophages Promotes Alcoholic Liver Disease and Hepatocellular Carcinoma,"As part of the PLRC Seminar Series, Dr. Tatiana Kisseleva (Associate Adjunct Professor of Surgery, School of Health Sciences, University of California"
283,31768542399248,The Promise and Impact of Organoid Medicine,"As part of the PLRC Seminar Series, Dr. Takanori Takebe (Assistant Professor, University of Cincinnati, Department of Pediatrics & Associate "
284,31768755236460,SWE++ Code Day,"All middle school girls are invited to participate in Code Day, the final event for the Pitt SWE ++ coding program! Attendees will participate in hands-on activities which showcase the applications of coding, learn about the technology of "
285,31768768762880,Pitt-Greensburg: Free FAFSA Completion Session,Get a head start on completing your FAFSA form when you attend our FAFSA Completion session. Bring the following with you
286,31768823139898,Pitt-Greensburg: Evening Campus Tour and Information Session,High school students and their families who are interested in learning more about what Pitt-Greensburg has to offer but can't make it to
287,31768893343188,Pitt-Greensburg: The Power of Healthcare Admissions Event,"Join us at our Power of Healthcare Admissions event to hear from our Admissions team, our faculty, and professionals working in the healthca"
288,31769039061339,Pitt-Greensburg: Campus-to-Career Panel Discussion,The Pitt-Greensburg Alumni Association and the Office of Career Services are partnering to bring Pitt and Pitt-Greensburg alumni to campus for a Campus-to-Career Panel Discussion. The panelists will answer questions 
289,31769074639648,From Ideation to Commercialization: Panel Discussion and Networking Lunch,"Are you an inventor or budding entrepreneur exploring the idea of commercializing an innovation? Join us for a networking lunch and panel discussion with on-campus and industry experts. Attendees will learn about Pitt and community resources and services to help transition from ideation to commercialization including market research assistance, business mentoring, funding, and industry expertise"
290,31769080149377,"She Started It"" Film Screening","An essential documentary on women tech entrepreneurs, She Started It upends the popular perception of a male-dominated Silicon Valley. Featuring interviews with leading female CEO's and entrepreneurs, it follows several passionate, t"
291,31769186733563,"Pitt-Greensburg Theatre Company presents \""Chekov in Yalta\","The Pitt-Greensburg will present Chekhov in Yalta, a play by John Driver and Jeffrey Haddow, as its fall theatre production. Tickets, available at t"
292,31769225899456,"Pitt-Greensburg Theatre Company presents \""Chekhov in Yalta\","The Pitt-Greensburg will present Chekhov in Yalta, a play by John Driver and Jeffrey Haddow, as its fall theatre production. Tickets, available at t"
293,31769245036097,Library Maker Technologies: Open House and Tour,"Are you preparing for a student pitch competition? Developing a vlog? Building a prototype?\n\nhen the Library Maker Technologies Open House is for you! The Library and its partners provide the spaces, technologies, and expertise to help entrepreneurs create 3D printed objects, record presentations, explore virtual reality, make use of GIS mapping technologies, digitize documents,"
294,31769253886594,Music at Pitt-Greensburg  presents the Kassia Ensemble and Pitt-Greensburg Chorale,"The Pitt-Greensburg Chorale will partner with the Kassia Ensemble and Chorale to present ""First No�l,"" a performance of Saint-Sa�ns' Oratorio de Noel, Bach's Lobet den Hern, alle Heiden, and selections from Handel's Messiah. The Pitt-Greensburg Chorale will perform a piano-preview performance in its home venue (Mary L"
295,31769262632735,Using Census Business Data for Customer Discovery Research ,"The U.S. Census Bureau tracks the performance of American businesses and industries and provides vital statistical information on the American consumer's demographics, behaviors and expenditures. Come learn how to use the Economic Census and "
296,31769281149766,Pennsylvania Business Resources,Are you interested in starting a small business in Pennsylvania? Come learn about the extensive business resources available to all Pennsylvania residents. Explore how to conduct company and industry resear
297,31769318411574,Music at Pitt-Greensburg presents the Kassia Ensemble and Pitt-Greensburg Chorale,"The Pitt-Greensburg Chorale will partner with the Kassia Ensemble and Chorale to present ""First No�l,"" a performance of Saint-Sa�ns' Oratorio de Noel, Bach's Lobet den Hern, alle Heiden, and selections from Handel's Messiah. The Pitt-Greensburg Chorale will perform a piano-preview performance in its home venue (Mary L"
298,30645601683328,Head Over Heels,"A jukebox musical featuring the songs of The Go-Go's, Head Over Heels is the story of what happens when the royal court of Arcadia is threatened by the mystical Oracle of Delphi with the loss of its ""Beat,"" the divine power that ensures the kingdom's prosperity. King Basilius, whose own title is at stake, forces the members of the royal family and court on a journey to the woods "
299,30645890895901,LAB 2: Ordinary Days,"Ordinary Days tells the story of four young New Yorkers whose lives intersect as they search for fulfillment, happiness, love and cabs. Through a score of vibrant and memorable songs, their experiences ring startlingly true to life. Ordinary Days is an original musical for"
300,30645894307471,LAB 2: Ordinary Days,"Ordinary Days tells the story of four young New Yorkers whose lives intersect as they search for fulfillment, happiness, love and cabs. Through a score of vibrant and memorable songs, their experiences ring startlingly true to life. Ordinary Days is an original mus"
301,30645916383180,LAB 3: Oblivion,"A touching and funny-and very modern-tale of parents, children, and the gulf that sometimes exists between them.\n\nUber-hip Brooklynites Pam and Dixon take great pride in their secular humanist approach to parenting. But when their 17-year-old da"
302,30645917896138,LAB 3: Oblivion,"A touching and funny-and very modern-tale of parents, children, and the gulf that sometimes exists between them.\n\nUber-hip Brooklynites Pam and Dixon take great pride in their secular humanist approach to parenting. But when their 17-year-o"
303,30654388899454,"Splatter, Blot, & Blow: Painting without Brushes","Fidget spinners, thread, toothbrushes, straws"
304,30690292678146,Bound & UnBound: A Celebration,"Join us for a celebration of the work created in our Bound & UnBound workshops this fall! \n\nParticipants created and bound their own unique blank journals, wrote and made mini-books of original blackout poetry, and explored the DIY aesthetic of zines.\n\nWe'll have examples of their work on hand for"
305,30760017485492,Talent Center Education Session for Department Admins - Staff,"This in-person session will give you a detailed overview on Pitt's new talent acquisition platform, Talent Center, with the help of a training specialist. The education session covers all aspects of the hiring process for staff job types. Pitt Worx Learning enables Pitt employees to access "
306,30760037384395,Talent Center Education Session for Department Admins - All Job types ,"This instructor-led session will give you a detailed overview on Pitt's new talent acquisition platform, Talent Center, from the comfort of your desk. The virtual education session covers all aspects of the hiring process for the staff, students, and All-Temps job types. Pitt Worx Learning enables Pitt empl"
307,30760081425127,Talent Center Education Session for Department Admins - Student and All-Temps,"This in-person session will give you a detailed overview on Pitt's new talent acquisition platform, Talent Center, with the help of a training specialist. The education session covers all aspects of the hiring process for student and All-Temps job types. Pitt Worx Learning enables Pitt employees to"
308,30776860997457,SSW Career Workshops: Evaluating and Negotiating Offers ,The ability to effectively evaluate multiple job offers and negotiate the many aspects of compensation is often new territory for social workers. Participants will rece
309,30811602058407,Medical Ethics 2020,Center for Bioethics & Health Law Annual Conference\n\n \n\nS
310,30811648187829,When the Well Runs Dry: Compassion Fatigue and the Work of Professional Caregiving,"Donna M. Posluszny, PhD\nAssistant Professor of Medicine\nUniversity of Pittsburgh\nAssociate Director of Training, Biobehavioral Oncology Program, UPMC Hillman Cancer Center\n\nLeanna Fuller, MDiv, PhD\nAssociate Professor of Pastoral Care\nPittsburgh Theological Seminary \n\nJoanne Spence, MA\nDirector, Urban Oasis\nPittsburgh, PA\n\nAbstract"
311,30873491843962,"Who is a Jew? Amiens, France, 1940-1945","This exhibit ""Who is a Jew? Amiens, France, 1940-1945"" contains the photo identification cards and other documents that David Rosenberg, a retire"
312,30884280813751,2nd Annual Healthy Lifestyle Institute Summit,The summit will bring together the wealth of talent at the University of Pittsburgh and will focus on the importan
313,30908934430037,"\""The Horrid Beginning: Boccaccio's Decarmon as Archetype of Modern Post-Apocalyptic Narrative\"" ","Lecture by Alberto Iozzia, Visiting Assistant Professory of Italian \n\nIn my presentation, I link contemporary expressions of apocalyptic and post-apocalyptic narrative to Giovanni Boccaccio's Decarmon, and I claim that the zombie-ridden landscapes of The Walking Dead lead back to Boccaccio's masterpiece, to its structure, and to its main themes.\n\nDennis R. Perry defines the apocalypse as the breaking up of the predictable universe"
314,30909164645305,Dissertation Defense: Linden Wu,"Linden Wu will present her PhD dissertation titled, ""Relationships Among Cyber Dating Abuse, Binge Drinking, and Emotion Dy"
315,30936620542520,Developing Competitive Grant Applications,Securing research funding in the present economic climate requires more than producing good science--you must communicate transformative objectives wit
316,30955117537238,Volunteer with Greater Pittsburgh Community Food Bank,Looking for a way to give back and get involved with the Pitt and Pittsburgh communities? The second Thursday every month is a repackaging and redistribution event at the Greater Pittsburgh Community Food Bank. \n\nThe University provides a shuttle from Bigelow Blvd. by Soldiers and S
317,31016729418058,Maker's Choice: Vinyl Creations with The Open Lab @ Hillman,"In this hands-on workshop, participants learn to design and create vinyl items using Silhouette Studio software and a Silhouette Cameo 3 Cutter. Options include stickers, T-shirts or iron-on images, printed vinyl, and magnets. Upon completion of this workshop, participants will be authorized to utilize the Open Lab"
318,31024690975570,"Antisemitism, Hate and Social Responsibility Conference","In commemoration of the Tree of Life shooting, Classrooms Without Borders is organizing a conference titled Antisemitism, Hate and Social Responsibility, to take place at Rodef Shalom Congregation in Pittsburgh on November 10-11, 2019. The conference will feature lectures by renowned scholars and workshops that will equip teachers to educate and inspire their students to identify and combat hate, antisemitism and racism of all kinds. This conference is geared towards academia, clergy, educators, students, and interested community members. Act 48 credits available.\n\n \n\nNov. 10 from 12:30pm - 9pm (includes dinner)\n\nNov. 11 from 8am - 5pm (includes light breakfast and lunch)\n\n \n\nCosts:\n\n*** FREE for P"
320,31769485190353,Pitt-Greensburg Men's Basketball Alumni Club Reunion/Recognition Game,"The Pitt-Greensburg Men's Basketball Alumni Club (MBAC) will host a reunion/recognition game when the Bobcats take on Penn State Behrend. All returning men's basketball alumni will be recognized at halftime. Special recognition for alumni from teams playing in '98-99, '99-'00, '04-05, and '69-'70.\n\nThis event marks the 20th anniversary of Pitt-Greensburg's Men's Basketball Program's back-to-back AMCC Championship seasons, the 15th anniversary of the regular season AMCC championship, and the 50th anniversary of Pitt-Greensburg athletics.\n"
321,31769557286852,Pitt-Greensburg Student Capstone Lecture and Performance,"Pitt-Greensburg student Tyler Humphries-Randolph, soprano, will present her stude"
322,31769563168741,Peace Corps Information Session - Overseas service with a public health focus,Are you interested in gaining global skills for your career while helping to improve basic healthcare? Join a representative from the Peace Corps and a recently Returned Peace Corps Volunteer from the Graduate School of Public Health and learn about how you can address issues of global maternal and c
323,31769597396748,Pitt-Greensburg Voice and Piano Recital,"Pitt-Greensburg voice and piano students will perform in a voice and piano recital, showcasing the work accomplished in the"
324,31769694176234,Pitt-Greensburg Alumni Association Merry Mingle,"Get ready to jingle and mingle!\n\nKick off the holiday season with the Merry Mingle, the Pitt-Greensburg Alumni Association's (PGAA) popular winter event.\n\nHave a photo taken with Bruiser, participate in the ugly sweater contest, sample delicious appetizers, indulge in a hot chocolate bar, and more. "
325,31776498753207,Seventh Annual Shale & Public Health Conference,"Presented by the League of Women Voters of Pennsylvania's ""Straight Scoop on Shale"" initiative and hosted by the University of Pittsburgh, Graduate School of Public Health. As in previous year"
326,31776539929397,Mean Girls,On Wednesdays we wear pink! Come sit with us and celebrate the 15th anniversary of Mean Girls on November 13th in Nordy's Place with a free screening of the movie. Free food provided. All Pitt Program Council events are o
327,31776598654607,Beer Tasting,"Come try the finer things in life with Pitt Program Council's annual autumn Beer Tasting! Beer Tasting will take place on Thursday, November 14th at 8:30pm. Doors open at 8pm and we will admit students from the waitlist promptly at 8:25pm if spots become available. Be sure to show up on time! Tickets go on sale starting October 28th in the Pitt Program Council office, M-30 WPU from 8:30am - 5pm each day. Tickets are $5 per student (refundable upon completion of the event). The opportunity to purchase your ticket will close at the end of the day on Tuesday, November 12th so th"
328,31776658462644,Late Night Paint Night,"Join Pitt Program Council for a Late Night Paint Night! Pittsburgh based company Paint Monkey will lead us in painting individual Pitt, winter-themed paintings for students to use as a room decoration! Tickets will go on sale beginning November 11th in the Pitt Program Council ticket office, cost is $5 a person. Tickets"
329,31776723504487,Ugly Sweatshirt Decorating,"De-stress and get in the holiday spirit, and join Pitt Program Council for a night of ugly sweatshirt decorating! Customize your own sweatshirt with tinsel, pom-poms, jingle bells, and holiday cheer on Saturday, December 7 at 10 PM in the WPU Assembly Room. This event comes with a lightweight crewneck sweatshirt. Sweatshirt colors come in white, grey, blue, green, and red. Size and color can be selected at the time of s"
330,31776765909815,A Trip to New York City,"Spend a weekend in New York City with Pitt Program Council! We will be staying in Times Square at Hotel Edison and will attend the Broadway show \""Dear Evan Hansen\"" with orchestra seats! All of this is included in your ticket price along with guided walking and bus tours of the city. We will be leaving campus at 7:00 am on Saturday, January 18 and depart from New York City at noon on the following Monday, January 20.\n\nSign up in the Pitt Program Council office, WPU M-30, from October 2 through December 6.\n"
331,31777352404665,"Cell Biology Seminar \""Phosphoinositide signaling controls everything - EVEN p53\""\","Richard A. Anderson, Phd, Professor, School of Me"
332,31797494102066,An Evening with Sierra DeMulder,"Join Pitt Active Minds for an evening with Author, Poet, and Spoken Word National Champion Sierra DeMulder as we talk about ment"
333,31802876188480,The Cloud of Doubt: Making Sense of the Sensible in Postwar Chinese Cinema,This paper turns to postwar Shanghai cinema that grapples with the aftereffect of the war on nerves in the changing social dynamic and sense perception of the world. Bao examines a set of genre-in
334,31803275605197,Love Mom and Dad,"Love Mom and Dad is a presentation featuring parents, Evelyn Piazza and Rae Ann Gruver, who lost their sons"
335,31803360034773,PItt-Greensburg: Academic Village Trivia Night!,Kyle Harper will host this Academic Village Senate SOCIAL event that includes f
336,31803389059979,Pitt Night - Revolution: The Music of the Beatles ,"Celebrate the 50th anniversary of the Beatles' greatest album, Abbey Road, with the Pittsburgh Symphony Orchestra. This fantastic concert features new arrangements of \""Come Together,\"" \""Because,\"" \""Here Comes the Sun,\"" \""Hey Jude,\"" and many more hits from their catalogue, plus hundreds of rare and unseen photos of the Fab Four! Optional free transp"
337,31803486295777,"Pitt-Greensburg VAS Film Series: \""Finding Vivian Maier\","The Pitt-Greensburg Visual Arts Society (VAS) will host a screening of Finding Vivan Maier.\n\n\""Finding Vivian Maier is the critically acclaimed documentary about a mysterious nanny, who secretly took o"
338,31803537241960,Pitt-Greensburg: Science and Faith Series: Did We Evolve?,Is Science right and the Bible wrong about evolution?\n\nIs the Bible right and Science wrong about evolution?\n\nIs there another point of view?\n\n Join the Discussion!
339,31803563740800,Seventh Annual Shale and Public Health Conference,"Presented by the League of Women Voters of Pennsylvania's \""Straight Scoop on Shale\"" initiative and hosted by Pitt Public Health, this year's "
340,31803614705612,Pitt-Greensburg: Latin American Stories,"Latin American Stories will screen three films this semester. Stop by Village Hall 118 to view the films, enjoy snacks, and earn Academic Village credit.\n\nThe third film to be featured on Thursday, November 14"
341,31803740170785,"Mitochondria, Metabolism, and Aging","Toren Finkel, MD, PhD, G. Nicholas III and Dorothy B. Beckwith Professor of Translational Medicine; professor of medicine (Division of Cardiology), School of Medicine; and director of  the University of Pittsburgh/UPMC Aging Institute, will deliver a Provost's Inaugural Lecture, Mitochondria, Metabolism, and Aging.\n\nThe P"
342,31035338055452,Make Scholarship Open! Using repositories and archives to share your work,"Open scholarship is a practice of increasing the accessibility and reusability of all of the products of scholarly work; a foundational component of the practice of open scholarship is sharing your work. Increase the robustness, reproducibility, and impact of your work, by sharing manuscripts, data, supplemental files, and more to the network of open access repositories"
343,31035345667964,Learning Python through Jupyter,"This workshop is for attendees of any experience level. If you have experience with another programming language or have never programmed at all, this workshop will help you hit the ground running. This workshop approaches Python as a tool to complete data science tasks. Attendees will walk through Python at their own pace covering"
344,31035353865208,What is Literary Style?,"What is literary style, and how can it be measured? This workshop will present the basics of stylometry and illustrate the applications, strengths, and weaknesses of traditional and computational approaches to studying ""style."" No programming background is required, but particip"
345,31060961600345,Artful Wednesdays: Chamber Orchestra of Pittsburgh,"Dedicated to offering exceptional classical music performances, they specialize in performing pieces from the Baroque and right up to the 21st "
346,31060982798697,Pittsburgh Tech Council Hire UP Event,Meet with representatives from the Pittsburgh Technology Council at this networking and recruiting event. Participate in a Li
347,31060984909586,Fraternity and Sorority Life 101,"All students interested in fraternity and sorority life are required to attend a Fraternity and Sorority Life (FSL) 101 session prior to recruitment or intake. These sessions will cover basic fraternity and sorority life terminology, expectations for membership, rights and responsibilities of new members, sexual assault prevention, alcohol safety, combating exclusive tradition"
348,31061032234142,Boxes and Walls,Experience life through someone else's identity through interactive displays. B
350,31061085792520,Global Ties Thanksgiving,"Enjoy a fantastic dinner and a chance to win fun prizes with Global Ties and the Vice Provost and Dean of Students, Kenyon Bonner, during this year's Thanksgiving Dinner!\n\nTickets are on sale Monday, November 4 from 9am to 5pm unt"
351,31061114679107,Global Ties Black Friday Shopping,"Join Global Ties for a Black Friday shopping spree at Grove City! Sign up by Friday, November 22 at 2:30 PM at the WPU 6th Floor. There is a $10 refundable fee for the tickets due to limited space.\n\nThe ev"
353,31061146748407,OCC Honorary Induction,"Each year the OCC Honorary Society hosts an Induction Ceremony to welcome new members into the distinguished community. At the Induction Ceremony, students will b"
354,31061686038984,Beyond Beginner Workshop: Web-Scraping Techniques in Python,"This workshop will demonstrate some of the most important considerations necessary when using Python to automate the retrieval of data from web sources, including use cases with the BeautifulSoup library, especially as it pertains to constructing datasets for research. It will include a discussion of best practices, including t"
355,31061806176589,ETD Workshop,Learn how to format your thesis or dissertation using the University's Microsoft Word templat
356,31061819271348,Copyright and Your Thesis or Dissertation,"What do you need to know about copyright for your thesis or dissertation? Join us for a workshop specifically about copyright and graduate student work. We'll cover copyright issues specific to theses and dissertations, including your rights as a user of others' work, the perm"
357,31061846894763,"When You Don't Need Permissions, The Public Domain and Other Important Exemptions To Copyright.",Have you ever wondered how works enter the public domain? Or what the public domain is? What rights do you have to use someone else work for face-to-face teaching? Why do different rules apply to online education? Can you digitize something
358,31068608577193,Staff Council General Meeting,Please join us for our monthly general assembly meeting!  If you have any questions please feel free to email the staff council office at
359,31081165068772,Blackboard: Using the Grade Center,"Students value the timely feedback on performance they receive through the Grade Center. Blackboard can help you record and track your students' grades more efficiently and can automatically grade certain kinds of student work. In this workshop, we will review the grade center and how it accepts grades from within and outside Blackboard. We will cover the Grade Center's options for customizing grades to meet your learning objectives, and you will learn how to control what grades your students see and when they see them.\n\nObjectives:\n\nLocate the Grade Center, create columns, e"
360,31086363275632,Follow Your Curiosity: Finding Research Outside of FE-R ,"Discover the liberating process of undergraduate research, find faculty resear"
361,31086383157641,Forbes & Fifth Volume 15 Release Party,N
362,31086506741111,Mobile Study Lab,Drop in to the ground floor of the Hillman Library to study with a group of likeminded stu
363,31088334621854,Pitt Queer Professionals General Meeting,The mission of PQP is to promote the professional and social development of LGBTQIA+ staff and faculty and advocate for the needs of the university's LGBTQIA+ c
364,31095445082633,"An Evening of Storytelling with Lulu Miller, Winner of the 2019/20 William Block Sr. Award","Pittsburgh Contemporary Writers Series presents an evening of storytelling with radio producer Lulu Miller, winner of the 2019/20 William Block Sr. Award.\n\nLulu Miller is a George Foster Peabody Awardwinning journalist at NPR and cofounder of NPR's Invisibilia, a long-form radio show and podcast about ""the unseen forces that control human be"
365,31095490244503,Khadijah Queen and Kathy Fagan: Readings and Onstage Conversation with Yona Harvey,"Pittsburgh Contemporary Writers Series presents readings and conversations with poets Khadijah Queen and Kathy Fagan.\n\nKhadijah Queen is the author of the poetry collections Conduit, Black Peculiar, Fearful Beloved, XsAXZB~, and I'm So Fine"
366,31803771192835,Pitt-Greensburg: Friday Night Gaming,Join in for a night of gaming!\n\nThis event is hosted by Nerdfighters.\n\nGaming officially begins at 7 p.m. (but come by earlier if you want) and official tour
367,31803840627979,Pitt-Greensburg: EqualiTea,Join the History Club for an equality tea party and open discussio
368,31804379569985,Sing Diversity -- The Songwriting Project,Video premiere of four original songs written and recorded by Pitt-Bra
369,31804426552711,Pianist Benjamin Laude,Laude will perform selections by Beethoven in honor of the composer's 250th birthday.  Laude is a pianist of int
370,31811726478221,"Pitt-Greensburg: Figuring Out Your \""Fry\""-nancial Aid After Graduation","Start preparing now for your life after graduation, and stop by the Hempfield Room a"
371,31811820724458,Pitt-Greensburg: SAB Thanksgiving Bingo,"Get in the Thanksgiving mood by playing \""Thanksgiving\"" Bingo with the"
372,31811979912432,Pitt-Greensburg: AMCC Women's Soccer Championship Game,The Pitt-Greensburg Women's Soccer Team is riding an undefeated record into the Allegheny Mountain Collegiate Conference (AMCC) playoffs. Stop b
373,31812014202320,Pitt-Greensburg: SGA Budget Extravaganza,Spring 2020 is looming on the horizon and the Pitt-Greensburg Student Government Association (SGA) is set to review funding proposals/requests from campus clubs and organizations. Pull your plans togethe
374,31812109608940,ECE Graduate Seminar - Professor Christopher E. Wilmer,"In this talk, I will summarize my group's years of research in developing novel computational methods to quickly identify promising materials for CO2 capture technologies. Using genetic algorithms, machine learning, and other methods, we have identified numerous materials that have record energy efficiencies for capturing CO2 from the exhaust of fossil-fuel power plants. A frontier research area, which is much more challenging, is capturing CO2 from ambient air"
375,31812162027920,"Pitt-Greensburg VAS Film Series: \""Mary Casatt\","The Pitt-Greensburg Visual Arts Society (VAS) will host a screening of the film, Mary Cassatt"
